epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9827,1.44318,2.07561,1.3292,0.57507,0.57665,0.56174,0.34169,1.38256,1.96601,1.26074,0.000473048,0.000473048,0.000473048
2,105.948,1.4889,1.62366,1.36566,0.55755,0.62426,0.63278,0.36797,1.40598,1.95296,1.29326,0.000933717,0.000933717,0.000933717
3,157.585,1.50605,1.55665,1.37905,0.5136,0.56442,0.52068,0.29511,1.59747,2.12177,1.47082,0.00137867,0.00137867,0.00137867
4,206.834,1.50532,1.54688,1.40662,0.63863,0.63932,0.65652,0.37765,1.43689,1.38962,1.34449,0.00135826,0.00135826,0.00135826
5,258.192,1.44343,1.41876,1.37922,0.7079,0.63181,0.71728,0.41392,1.4134,1.33044,1.3138,0.00133469,0.00133469,0.00133469
6,308.269,1.37993,1.34672,1.32121,0.70318,0.67369,0.73199,0.45332,1.27223,1.19201,1.20741,0.00131111,0.00131111,0.00131111
7,359.136,1.31489,1.23698,1.28519,0.65449,0.72054,0.72201,0.45136,1.28334,1.23573,1.22822,0.00128753,0.00128753,0.00128753
8,409.196,1.31087,1.22935,1.27421,0.77822,0.74905,0.81398,0.52959,1.21839,0.98977,1.20071,0.00126395,0.00126395,0.00126395
9,459.753,1.26556,1.17004,1.25558,0.74504,0.75528,0.81877,0.52838,1.20084,0.96057,1.18801,0.00124037,0.00124037,0.00124037
10,510.799,1.24485,1.14578,1.24728,0.76822,0.78125,0.83869,0.56045,1.12927,0.91478,1.15057,0.00121679,0.00121679,0.00121679
11,560.3,1.22586,1.10855,1.24224,0.79827,0.7891,0.8386,0.54882,1.15594,0.8703,1.15807,0.00119322,0.00119322,0.00119322
12,611.352,1.24215,1.08513,1.23436,0.76717,0.80738,0.82477,0.5499,1.14444,0.86375,1.15098,0.00116964,0.00116964,0.00116964
13,662.348,1.18105,1.05423,1.22319,0.7405,0.78423,0.83475,0.54337,1.15018,0.90978,1.16285,0.00114606,0.00114606,0.00114606
14,711.404,1.18507,1.04048,1.22292,0.81017,0.81396,0.86388,0.56917,1.10671,0.86174,1.13944,0.00112248,0.00112248,0.00112248
15,762.53,1.16116,0.98862,1.20203,0.8431,0.79356,0.87509,0.58084,1.11345,0.84024,1.14008,0.0010989,0.0010989,0.0010989
16,813.735,1.18087,0.99327,1.21415,0.83657,0.804,0.8545,0.57751,1.12515,0.83474,1.13359,0.00107532,0.00107532,0.00107532
17,863.11,1.1515,0.97741,1.20617,0.82659,0.80154,0.87028,0.58628,1.08544,0.82813,1.10693,0.00105174,0.00105174,0.00105174
18,913.872,1.13213,0.96034,1.18937,0.84552,0.8284,0.8901,0.59949,1.08462,0.75737,1.13481,0.00102817,0.00102817,0.00102817
19,963.509,1.1125,0.9174,1.17596,0.82463,0.84302,0.87199,0.5879,1.07554,0.82556,1.11803,0.00100459,0.00100459,0.00100459
20,1014.12,1.10511,0.91586,1.16388,0.79505,0.82571,0.86818,0.58952,1.09389,0.77864,1.11645,0.000981008,0.000981008,0.000981008
21,1064.75,1.08507,0.89041,1.17091,0.83615,0.84917,0.89199,0.60208,1.07234,0.74884,1.09979,0.00095743,0.00095743,0.00095743
22,1114.13,1.10135,0.89026,1.17066,0.8304,0.8685,0.8979,0.61374,1.0696,0.73902,1.09769,0.000933851,0.000933851,0.000933851
23,1164.64,1.06924,0.84731,1.15088,0.84877,0.82285,0.88143,0.60096,1.06391,0.72962,1.11298,0.000910273,0.000910273,0.000910273
24,1214.4,1.06313,0.84272,1.14709,0.86506,0.82718,0.89084,0.61451,1.0549,0.71561,1.08386,0.000886694,0.000886694,0.000886694
25,1264.99,1.04621,0.82644,1.13739,0.80679,0.81521,0.88857,0.61239,1.04545,0.72486,1.10576,0.000863116,0.000863116,0.000863116
26,1315.73,1.04504,0.81756,1.1474,0.87173,0.83719,0.90716,0.627,1.0234,0.68228,1.09084,0.000839537,0.000839537,0.000839537
27,1365.6,1.08796,0.85569,1.15058,0.83895,0.8869,0.89951,0.62207,1.04035,0.67526,1.08455,0.000815959,0.000815959,0.000815959
28,1416.59,1.0431,0.79683,1.13774,0.87079,0.87349,0.90447,0.6213,1.0545,0.65498,1.09147,0.00079238,0.00079238,0.00079238
29,1467.39,1.03745,0.80469,1.13135,0.84741,0.85043,0.89834,0.62551,1.03603,0.6798,1.08047,0.000768802,0.000768802,0.000768802
30,1517.04,1.01057,0.77529,1.11754,0.85307,0.86333,0.91665,0.63749,1.0136,0.64747,1.07019,0.000745223,0.000745223,0.000745223
31,1568.42,1.02304,0.78068,1.12113,0.82724,0.89567,0.90795,0.63384,1.01415,0.63711,1.07849,0.000721645,0.000721645,0.000721645
32,1618.2,0.99229,0.74065,1.11008,0.86316,0.87682,0.91538,0.64439,1.00502,0.6316,1.06441,0.000698066,0.000698066,0.000698066
33,1669.16,0.99103,0.74567,1.10974,0.84499,0.86996,0.90296,0.64192,0.99256,0.61858,1.06141,0.000674488,0.000674488,0.000674488
34,1719.12,0.969,0.73142,1.10453,0.84595,0.87399,0.9074,0.64724,0.99063,0.64592,1.06683,0.000650909,0.000650909,0.000650909
35,1769.11,0.96209,0.71677,1.08967,0.87677,0.8335,0.89813,0.63099,1.00253,0.64594,1.05785,0.000627331,0.000627331,0.000627331
36,1820.33,0.96422,0.72284,1.10501,0.87306,0.8456,0.90916,0.63503,1.00026,0.64329,1.07738,0.000603752,0.000603752,0.000603752
37,1870.16,0.95469,0.6985,1.09051,0.87614,0.87949,0.92423,0.6547,0.99076,0.60552,1.05935,0.000580174,0.000580174,0.000580174
38,1921.01,0.94744,0.69959,1.08857,0.87832,0.89249,0.91809,0.64888,0.99362,0.61105,1.06494,0.000556595,0.000556595,0.000556595
39,1971.79,0.94748,0.67994,1.09649,0.84321,0.89946,0.91695,0.65163,0.98696,0.60342,1.05969,0.000533017,0.000533017,0.000533017
40,2020.58,0.95921,0.69196,1.08675,0.8736,0.89084,0.92083,0.65136,0.99443,0.59798,1.0638,0.000509438,0.000509438,0.000509438
41,2071.21,0.9268,0.67027,1.08099,0.8816,0.92171,0.93769,0.66694,0.9703,0.57007,1.05561,0.00048586,0.00048586,0.00048586
42,2121.52,0.92364,0.66249,1.08148,0.8858,0.88921,0.92827,0.66314,0.97186,0.58105,1.05525,0.000462281,0.000462281,0.000462281
43,2172.18,0.93634,0.66563,1.08509,0.88301,0.9065,0.92401,0.64759,1.00783,0.58935,1.0637,0.000438703,0.000438703,0.000438703
44,2222.63,0.92921,0.64751,1.07187,0.85383,0.92162,0.92896,0.66149,0.97288,0.5641,1.0502,0.000415124,0.000415124,0.000415124
45,2272.54,0.91758,0.64791,1.07552,0.89623,0.88052,0.9345,0.66617,0.94932,0.5653,1.0457,0.000391546,0.000391546,0.000391546
46,2324.16,0.91948,0.64125,1.06438,0.87926,0.90482,0.93312,0.6616,0.96809,0.56738,1.05336,0.000367967,0.000367967,0.000367967
47,2374,0.89807,0.61644,1.05925,0.88544,0.90975,0.93154,0.66134,0.9898,0.56516,1.05821,0.000344389,0.000344389,0.000344389
48,2424.48,0.89332,0.61763,1.06277,0.88077,0.91756,0.93677,0.66202,0.99473,0.55251,1.05194,0.00032081,0.00032081,0.00032081
49,2474.9,0.88481,0.5978,1.0583,0.89594,0.89357,0.93768,0.6672,0.97468,0.54272,1.0533,0.000297232,0.000297232,0.000297232
50,2524.89,0.88982,0.61046,1.0627,0.87794,0.89954,0.92467,0.6717,0.94434,0.54312,1.04241,0.000273654,0.000273654,0.000273654
51,2574.9,0.72087,0.43666,0.97537,0.91301,0.89949,0.94183,0.68237,0.94504,0.53476,1.03933,0.000250075,0.000250075,0.000250075
52,2621.38,0.69993,0.40938,0.96347,0.88047,0.90635,0.92948,0.6703,0.95057,0.54842,1.04515,0.000226497,0.000226497,0.000226497
53,2668.85,0.68861,0.39965,0.96618,0.87972,0.92457,0.93445,0.68183,0.94804,0.53119,1.04177,0.000202918,0.000202918,0.000202918
54,2715.17,0.66828,0.39151,0.95177,0.90294,0.91398,0.95188,0.69145,0.9308,0.51041,1.03263,0.00017934,0.00017934,0.00017934
55,2761.56,0.67734,0.386,0.95073,0.89605,0.90218,0.94028,0.69002,0.94015,0.51296,1.03772,0.000155761,0.000155761,0.000155761
56,2808.89,0.65768,0.37411,0.94219,0.91382,0.89711,0.94155,0.69299,0.93369,0.50805,1.03361,0.000132183,0.000132183,0.000132183
57,2855.42,0.6561,0.37202,0.94296,0.8963,0.91891,0.94005,0.69023,0.93267,0.51818,1.03992,0.000108604,0.000108604,0.000108604
58,2901.48,0.64444,0.36217,0.94226,0.91564,0.89225,0.94043,0.68818,0.92621,0.5117,1.03395,8.50255e-05,8.50255e-05,8.50255e-05
59,2949.09,0.63968,0.35941,0.93181,0.91552,0.89938,0.94258,0.68862,0.92881,0.50286,1.03425,6.1447e-05,6.1447e-05,6.1447e-05
60,2997.12,0.63173,0.35319,0.93063,0.89079,0.92916,0.94102,0.69331,0.92537,0.50038,1.03495,3.78685e-05,3.78685e-05,3.78685e-05
