epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6003,1.27363,2.71552,1.20073,0.66539,0.7033,0.70553,0.44757,1.10157,1.44862,1.10492,0.000408805,0.000408805,0.000408805
2,65.9895,1.29231,1.55819,1.22013,0.65182,0.62096,0.64434,0.38485,1.25924,1.70015,1.33783,0.000809127,0.000809127,0.000809127
3,97.1191,1.36101,1.42942,1.29509,0.0345,0.24579,0.02914,0.01453,1.8372,51.169,1.94016,0.00119295,0.00119295,0.00119295
4,128.703,1.34757,1.34772,1.29554,0.58375,0.47852,0.46993,0.24834,1.42786,2.24061,1.46589,0.00117575,0.00117575,0.00117575
5,160.946,1.37008,1.42752,1.31627,0.66019,0.59742,0.61011,0.39169,1.26221,1.60369,1.26491,0.001151,0.001151,0.001151
6,193.376,1.35285,1.36089,1.27368,0.65301,0.61364,0.61597,0.40032,1.24863,1.63886,1.24236,0.00112625,0.00112625,0.00112625
7,225.377,1.2981,1.24152,1.25625,0.81862,0.7002,0.81137,0.54248,1.11143,1.06582,1.18886,0.0011015,0.0011015,0.0011015
8,257.005,1.28275,1.16659,1.26148,0.70723,0.75186,0.73671,0.48407,1.16616,1.16031,1.19018,0.00107675,0.00107675,0.00107675
9,288.524,1.25835,1.13589,1.20151,0.77985,0.75792,0.78957,0.52582,1.1286,1.16835,1.1607,0.001052,0.001052,0.001052
10,322.041,1.22437,1.06177,1.20404,0.85808,0.78181,0.8731,0.58832,1.06422,0.93734,1.12096,0.00102725,0.00102725,0.00102725
11,355.346,1.20363,1.05427,1.20023,0.89148,0.76951,0.88289,0.58958,1.09222,0.90632,1.13963,0.0010025,0.0010025,0.0010025
12,386.507,1.24776,1.08691,1.20187,0.86028,0.80796,0.86298,0.57705,1.05627,0.89086,1.12517,0.00097775,0.00097775,0.00097775
13,417.604,1.17949,0.97341,1.19601,0.89107,0.75052,0.8503,0.58785,1.03968,0.9176,1.1202,0.000953,0.000953,0.000953
14,448.584,1.1479,0.94182,1.15546,0.87938,0.82517,0.88293,0.6017,1.00357,0.81337,1.10636,0.00092825,0.00092825,0.00092825
15,480.161,1.09574,0.90354,1.13925,0.93297,0.79051,0.88466,0.62733,1.0035,0.8123,1.09235,0.0009035,0.0009035,0.0009035
16,510.685,1.12785,0.91017,1.15476,0.84506,0.85023,0.88699,0.62035,1.01404,0.79483,1.1054,0.00087875,0.00087875,0.00087875
17,542.197,1.1509,0.89493,1.1595,0.90683,0.82302,0.88967,0.63675,0.98841,0.80253,1.09349,0.000854,0.000854,0.000854
18,574.204,1.08499,0.85656,1.13273,0.87186,0.85127,0.88797,0.62776,0.987,0.7228,1.07523,0.00082925,0.00082925,0.00082925
19,605.876,1.10513,0.88961,1.14343,0.93909,0.81702,0.90241,0.64514,0.96466,0.7463,1.05641,0.0008045,0.0008045,0.0008045
20,637.143,1.07176,0.85211,1.13724,0.89531,0.86532,0.91112,0.64504,0.96918,0.75878,1.06719,0.00077975,0.00077975,0.00077975
21,669.497,1.0901,0.83615,1.11898,0.88365,0.87355,0.90994,0.64263,0.95261,0.724,1.06604,0.000755,0.000755,0.000755
