epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9712,1.78569,2.45755,1.4984,0.57192,0.56694,0.54776,0.25331,1.6854,2.0838,1.55808,0.000547614,0.000547614,0.000547614
2,64.8409,1.7522,1.63277,1.51675,0.58457,0.5322,0.51351,0.2244,1.84426,2.05501,1.65852,0.00108144,0.00108144,0.00108144
3,95.0448,1.73738,1.64985,1.55969,0.43935,0.42722,0.37417,0.17079,1.92906,3.68982,1.70798,0.00159325,0.00159325,0.00159325
4,125.442,1.73858,1.59388,1.5579,0.50678,0.64291,0.55151,0.25545,1.783,2.30512,1.54025,0.00156798,0.00156798,0.00156798
5,155.912,1.73252,1.50721,1.52523,0.51017,0.63887,0.6344,0.31323,1.67294,1.60266,1.47819,0.00153497,0.00153497,0.00153497
6,186.117,1.66489,1.48683,1.51722,0.47181,0.57368,0.49262,0.23949,1.71984,1.75431,1.5078,0.00150197,0.00150197,0.00150197
7,216.159,1.68547,1.40849,1.46818,0.75259,0.59415,0.6963,0.3484,1.61899,1.48684,1.44169,0.00146896,0.00146896,0.00146896
8,246.62,1.66337,1.43116,1.50707,0.74388,0.66503,0.72744,0.38161,1.64024,1.22625,1.40515,0.00143595,0.00143595,0.00143595
9,277.059,1.62624,1.3404,1.45011,0.68888,0.56199,0.67792,0.35301,1.61206,1.30373,1.43268,0.00140295,0.00140295,0.00140295
10,307.654,1.62009,1.34735,1.49627,0.72415,0.69202,0.75617,0.40724,1.60894,1.14937,1.4347,0.00136994,0.00136994,0.00136994
11,338.488,1.59391,1.26689,1.4408,0.72378,0.7188,0.76549,0.40426,1.57153,1.15301,1.38011,0.00133693,0.00133693,0.00133693
12,369.178,1.5518,1.1675,1.40764,0.68264,0.74266,0.76386,0.38526,1.5941,1.12078,1.39579,0.00130393,0.00130393,0.00130393
13,399.983,1.53581,1.20674,1.40979,0.74833,0.68674,0.75898,0.42238,1.54519,1.1338,1.37097,0.00127092,0.00127092,0.00127092
14,430.402,1.54242,1.14082,1.38254,0.76352,0.74849,0.81818,0.44446,1.55393,0.9977,1.39056,0.00123791,0.00123791,0.00123791
15,461.396,1.5497,1.17489,1.42287,0.7595,0.73082,0.80179,0.44647,1.51872,1.00635,1.35785,0.00120491,0.00120491,0.00120491
16,491.787,1.45911,1.10946,1.368,0.74772,0.73923,0.79394,0.44077,1.54526,1.02338,1.3599,0.0011719,0.0011719,0.0011719
17,522.243,1.47153,1.08263,1.37993,0.76636,0.74711,0.81063,0.45768,1.54105,0.99678,1.35828,0.00113889,0.00113889,0.00113889
18,552.73,1.49099,1.08679,1.36164,0.76267,0.8158,0.85192,0.47098,1.48384,0.95267,1.31981,0.00110589,0.00110589,0.00110589
19,583.199,1.45713,1.07357,1.32707,0.77061,0.83505,0.84537,0.47215,1.50294,0.94913,1.35439,0.00107288,0.00107288,0.00107288
20,612.678,1.46478,1.02777,1.34234,0.77541,0.80359,0.84336,0.46761,1.52706,0.94384,1.33641,0.00103987,0.00103987,0.00103987
21,641.828,1.46683,1.03657,1.32966,0.80816,0.80473,0.84349,0.46783,1.47122,0.91625,1.31442,0.00100687,0.00100687,0.00100687
22,670.827,1.42358,1.00018,1.33742,0.80057,0.76888,0.85747,0.49257,1.45632,0.89463,1.31839,0.000973861,0.000973861,0.000973861
23,699.885,1.4066,0.99908,1.33928,0.78868,0.79173,0.86305,0.49603,1.46446,0.88746,1.30782,0.000940855,0.000940855,0.000940855
24,729.719,1.4052,0.95753,1.3184,0.75285,0.81712,0.8431,0.46638,1.4856,0.91572,1.31859,0.000907848,0.000907848,0.000907848
