epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4707,1.26295,3.1353,1.13059,0.97293,0.07466,0.55587,0.36646,1.16041,3.4031,1.03284,0.000363346,0.000363346,0.000363346
2,60.8421,1.2854,2.17161,1.15639,0.47718,0.39567,0.40052,0.22425,1.43952,2.75757,1.39198,0.000719152,0.000719152,0.000719152
3,90.2725,1.29062,1.93535,1.18166,0.51244,0.58703,0.57381,0.36676,1.25234,1.99338,1.15206,0.00106029,0.00106029,0.00106029
4,117.791,1.25254,1.83002,1.18018,0.71152,0.59828,0.65601,0.40638,1.34527,1.76169,1.26594,0.00104501,0.00104501,0.00104501
5,145.931,1.26475,1.72826,1.18297,0.74891,0.73831,0.73959,0.45018,1.27119,1.25363,1.18638,0.00102301,0.00102301,0.00102301
6,173.6,1.2946,1.63057,1.19419,0.77821,0.66278,0.76589,0.47833,1.27977,1.26343,1.18462,0.00100101,0.00100101,0.00100101
7,204.286,1.2339,1.46651,1.16363,0.70304,0.73121,0.72355,0.46918,1.24417,1.22243,1.20149,0.000979013,0.000979013,0.000979013
8,233.141,1.21282,1.36554,1.17155,0.78962,0.71398,0.77732,0.50047,1.2585,1.15444,1.15693,0.000957015,0.000957015,0.000957015
9,260.787,1.25643,1.31777,1.15316,0.78999,0.76286,0.8003,0.53449,1.17258,1.02455,1.13798,0.000935018,0.000935018,0.000935018
10,289.915,1.17557,1.23338,1.15185,0.65072,0.69505,0.68656,0.43689,1.21777,1.37805,1.1591,0.00091302,0.00091302,0.00091302
11,318.436,1.1794,1.23215,1.14349,0.8429,0.72245,0.8423,0.55231,1.16133,0.96407,1.12851,0.000891022,0.000891022,0.000891022
12,346.31,1.19943,1.15627,1.13205,0.8222,0.76335,0.83217,0.52926,1.21661,0.9764,1.15204,0.000869024,0.000869024,0.000869024
13,375.107,1.15162,1.11351,1.13401,0.78784,0.80591,0.84131,0.55268,1.13654,0.92207,1.12635,0.000847026,0.000847026,0.000847026
14,403.549,1.12722,1.053,1.10199,0.90939,0.74158,0.87714,0.55222,1.21559,0.94591,1.15807,0.000825029,0.000825029,0.000825029
15,433.012,1.06176,1.03522,1.09096,0.80643,0.81854,0.86382,0.57395,1.17386,0.84326,1.11928,0.000803031,0.000803031,0.000803031
16,461.103,1.1266,1.00232,1.10528,0.85758,0.7744,0.84576,0.57245,1.10453,0.87396,1.12846,0.000781033,0.000781033,0.000781033
17,490.075,1.11852,0.97293,1.11066,0.81012,0.77688,0.84606,0.57907,1.08513,0.85715,1.0951,0.000759035,0.000759035,0.000759035
18,519.129,1.08141,0.95458,1.09795,0.85434,0.85364,0.90446,0.61796,1.12072,0.73857,1.09519,0.000737037,0.000737037,0.000737037
19,547.089,1.0919,0.9471,1.10955,0.8763,0.84608,0.899,0.60483,1.07185,0.78668,1.07429,0.00071504,0.00071504,0.00071504
20,574.772,1.08546,0.94484,1.104,0.84583,0.84734,0.91191,0.63188,1.00921,0.77187,1.03595,0.000693042,0.000693042,0.000693042
