epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,603.879,1.07827,0.89798,1.07767,0.86505,0.82465,0.89244,0.61816,1.04732,0.75813,1.05701,0.000671044,0.000671044,0.000671044
22,633.99,1.02112,0.87998,1.07342,0.86804,0.85089,0.91013,0.63433,1.04807,0.7331,1.09596,0.000649046,0.000649046,0.000649046
23,661.831,1.003,0.82276,1.06132,0.92421,0.80792,0.88821,0.63502,1.01614,0.71361,1.07507,0.000627048,0.000627048,0.000627048
24,691.959,0.97871,0.83567,1.06247,0.91319,0.84749,0.91973,0.61483,1.06244,0.77981,1.07764,0.000605051,0.000605051,0.000605051
25,720.202,1.01896,0.80475,1.06419,0.93254,0.86129,0.92248,0.63618,1.03119,0.72677,1.08061,0.000583053,0.000583053,0.000583053
26,749.029,0.99922,0.78715,1.05438,0.88831,0.87259,0.93124,0.64462,1.03792,0.66356,1.08434,0.000561055,0.000561055,0.000561055
27,776.846,0.9623,0.74985,1.05137,0.94983,0.84382,0.93295,0.65382,1.03081,0.63958,1.06166,0.000539057,0.000539057,0.000539057
28,805.993,0.96994,0.75076,1.04582,0.90487,0.87299,0.93516,0.65679,1.00821,0.62994,1.05242,0.000517059,0.000517059,0.000517059
29,835.336,0.91276,0.71045,1.0352,0.92831,0.83787,0.91621,0.6532,1.02935,0.65479,1.056,0.000495062,0.000495062,0.000495062
30,862.78,0.93729,0.69896,1.026,0.91832,0.84838,0.92979,0.66201,1.01403,0.63001,1.04194,0.000473064,0.000473064,0.000473064
31,891.498,0.92507,0.69283,1.01578,0.92506,0.86518,0.93989,0.65238,1.00463,0.62519,1.04504,0.000451066,0.000451066,0.000451066
32,920.499,0.92797,0.70647,1.03608,0.89422,0.8892,0.92366,0.63885,1.03264,0.62411,1.05684,0.000429068,0.000429068,0.000429068
33,948.947,0.92809,0.68595,1.02727,0.88413,0.85889,0.92234,0.65794,1.00991,0.63608,1.03482,0.00040707,0.00040707,0.00040707
34,977.648,0.94387,0.69995,1.02558,0.93846,0.85062,0.9419,0.68157,0.98937,0.59309,1.03034,0.000385073,0.000385073,0.000385073
35,1006,0.94498,0.68798,1.02797,0.91815,0.88129,0.94518,0.66751,0.97018,0.60161,1.03308,0.000363075,0.000363075,0.000363075
36,1034.98,0.89464,0.6681,1.01491,0.90123,0.87899,0.93665,0.66142,0.99286,0.5867,1.03944,0.000341077,0.000341077,0.000341077
37,1064.79,0.84767,0.6301,0.99923,0.94063,0.87499,0.95119,0.6794,1.00178,0.59074,1.0366,0.000319079,0.000319079,0.000319079
38,1093.97,0.89891,0.65872,1.01498,0.93789,0.87955,0.94615,0.66751,0.98778,0.58974,1.03679,0.000297081,0.000297081,0.000297081
39,1123.77,0.87876,0.62974,1.00647,0.91949,0.88367,0.94914,0.67145,0.99354,0.57902,1.03803,0.000275084,0.000275084,0.000275084
40,1151.82,0.8793,0.61383,0.99775,0.90712,0.94047,0.95539,0.68647,0.9809,0.54681,1.03484,0.000253086,0.000253086,0.000253086
41,1185.58,0.80629,0.53671,0.9528,0.93303,0.91242,0.9614,0.68505,0.96186,0.56314,1.02487,0.000231088,0.000231088,0.000231088
42,1214.31,0.78755,0.51557,0.93967,0.89507,0.88914,0.94029,0.66993,0.94859,0.59065,1.01206,0.00020909,0.00020909,0.00020909
43,1244.17,0.7844,0.5149,0.94313,0.9323,0.87695,0.94441,0.68803,0.95211,0.57002,1.02232,0.000187092,0.000187092,0.000187092
44,1272.24,0.79449,0.50919,0.94079,0.93255,0.85521,0.94824,0.6845,0.97002,0.5675,1.02648,0.000165095,0.000165095,0.000165095
45,1300.9,0.79587,0.50388,0.94654,0.94788,0.88348,0.95515,0.68311,0.98779,0.55793,1.03603,0.000143097,0.000143097,0.000143097
46,1329.54,0.77014,0.49201,0.94083,0.92423,0.88219,0.94272,0.6896,0.94111,0.54384,1.01651,0.000121099,0.000121099,0.000121099
47,1357.48,0.76569,0.48011,0.92654,0.93219,0.88788,0.9495,0.69866,0.95719,0.53506,1.02109,9.91012e-05,9.91012e-05,9.91012e-05
48,1386.35,0.73165,0.4643,0.92543,0.94442,0.88009,0.94634,0.69436,0.94569,0.54108,1.01364,7.71034e-05,7.71034e-05,7.71034e-05
49,1415.12,0.74135,0.46994,0.92456,0.9486,0.87205,0.94305,0.69194,0.93678,0.54048,1.00586,5.51056e-05,5.51056e-05,5.51056e-05
50,1443.01,0.72798,0.45784,0.92558,0.92133,0.89202,0.94983,0.69772,0.94107,0.52662,1.01145,3.31078e-05,3.31078e-05,3.31078e-05
